1,"1 1/2"" PVC FITTINGS"
2,"2"" PVC FITTINGS"
3,"3"" PVC FITTINGS"
4,"4"" PVC FITTINGS"
5,"6"" PVC FITTINGS"
6,ABS PIPE
7,BLACK PIPE
8,BLUE POLY PIPE
9,BOXES
10,CAST IRON TUBS
11,CAST-IN ANCHORS
12,CAST-IN SLEEVES
13,CEMENT
14,CFG VALVES
15,CRIMPERS
16,CUTTING EQUIPMENT
17,DRAINS
18,FINISH SUPPLIES
19,FIRE SEALANT
20,FIXTURES
21,FLUE PIPE
22,GALVANIZED
23,GLUE
24,HAND TOOLS
25,HOSE BIBS
26,JETTED TUBS
27,KITCHEN SINK
28,LAUNDRY
29,MISC FINISH
30,MISCELLANEOUS
31,MOEN VALVES
32,PANS
33,PEX FITTINGS
34,PEX MISCELLANEOUS
35,PEX PIPE
36,"PEX PRESS 1-1/2"" FITTINGS"
37,"PEX PRESS 1-1/4"" FITTINGS"
38,"PEX PRESS 2"" FITTINGS"
39,PEX PRESS COUPLINGS & ADAPTERS
40,PIPE COLLARS
41,PIPE PREP.
42,POWER TOOLS
43,PUMPS
44,PVC PIPE
45,ROUGH MISC.
46,SAFETY & MISC.
47,SAFETY GLASSES
48,SOAKER TUBS
49,Softner
50,TEST
51,TOILET SEATS
52,TOOLS
53,TUB/SHOWER UNITS
54,WATER HEATERS
55,WATER SUPPLY
